Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Manaus,-0.1879,1.9339,0.9311,47.0314,1.3907,25.5777,0.8289,0.2
Ridge,Manaus,-0.136,1.8495,0.9538,46.9388,1.36,26.1037,0.8491,0.0
XGBoost,Manaus,-0.114,1.8136,1.0932,45.3545,1.3467,28.6109,0.9732,0.15
Random Forest,Manaus,-0.2444,2.026,1.2282,45.7023,1.4234,30.8917,1.0934,3.18
