Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Benjamin Constant,0.05186,1.1645400000000001,0.8585,23.32844,1.07726,19.66646,0.8100999999999999,0.318
Ridge,Benjamin Constant,0.048639999999999996,1.16968,0.8692399999999999,23.19066,1.07938,19.90028,0.8202999999999999,0.062
XGBoost,Benjamin Constant,0.03822,1.17994,0.87096,23.01744,1.08464,19.96512,0.8217800000000001,1.49
Random Forest,Benjamin Constant,0.03654,1.1836600000000002,0.87328,23.06202,1.08606,20.01232,0.8240999999999999,5.052
