Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Benjamin Constant,0.0628,0.8439,0.6347,18.4082,0.9187,14.975,0.5804,0.23
Ridge,Benjamin Constant,0.0935,0.8163,0.6488,18.273,0.9035,15.3093,0.5933,0.0
XGBoost,Benjamin Constant,-0.0075,0.9072,0.79,20.7299,0.9525,18.2703,0.7224,0.15
Random Forest,Benjamin Constant,-0.1085,0.9982,0.8792,22.6082,0.9991,19.7997,0.804,3.09
