Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Eirunepe,0.08543999999999999,1.0954799999999998,0.81068,22.830419999999997,1.0444200000000001,18.64674,0.8186,0.32199999999999995
XGBoost,Eirunepe,0.0726,1.11322,0.82866,22.637520000000002,1.05196,19.07568,0.83664,1.488
Random Forest,Eirunepe,0.07002,1.11752,0.8300000000000001,22.648680000000002,1.05362,19.095319999999997,0.83802,5.152
Ridge,Eirunepe,0.07408000000000001,1.1093199999999999,0.8308399999999999,22.86984,1.05094,19.0709,0.83898,0.062
