Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Codajas,-0.1579,1.7655,0.8368,39.8283,1.3287,21.7959,0.7851,0.2
XGBoost,Codajas,-0.1751,1.7918,0.842,40.477,1.3386,21.7432,0.79,0.15
Ridge,Codajas,-0.0774,1.6429,0.8701,39.2343,1.2817,22.6304,0.8164,0.0
Random Forest,Codajas,-0.2935,1.9723,1.0405,44.3435,1.4044,25.4252,0.9763,3.16
