Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Iaurete,0.01818,1.29404,0.9038,26.17942,1.1353199999999999,21.33614,0.76466,0.32599999999999996
Ridge,Iaurete,0.00924,1.30702,0.91744,25.956439999999997,1.1407399999999999,21.64958,0.7761600000000001,0.062
XGBoost,Iaurete,-0.0024999999999999996,1.3206799999999999,0.9220600000000001,26.030039999999996,1.14688,21.778219999999997,0.78,1.496
Random Forest,Iaurete,-0.005739999999999999,1.32548,0.9236800000000001,26.040460000000003,1.1489,21.819119999999998,0.78136,5.146
