Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Labrea,-0.0439,0.9475,0.6924,19.8431,0.9734,16.0186,0.7004,0.21
Ridge,Labrea,-0.0316,0.9364,0.7131,20.0323,0.9677,16.4793,0.7213,0.0
Random Forest,Labrea,-0.1852,1.0758,0.8012,22.1697,1.0372,18.4569,0.8104,3.21
XGBoost,Labrea,-0.4685,1.3328,0.9224,25.221,1.1545,21.0841,0.933,0.14
