Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Barcelos,0.13974,1.13916,0.8321999999999999,22.54828,1.06574,18.5368,0.8856400000000001,0.31799999999999995
Ridge,Barcelos,0.13688,1.1437599999999999,0.8468199999999999,22.45806,1.06766,18.812459999999998,0.9014200000000001,0.5119999999999999
Random Forest,Barcelos,0.13696,1.14404,0.84938,22.03736,1.06754,18.947300000000002,0.9039400000000001,5.21
XGBoost,Barcelos,0.08792,1.20492,0.8756,22.47816,1.09496,19.505000000000003,0.9309000000000001,1.672
