Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,S.G.Cachoeira,-0.0186,1.7636,0.8774,52.0797,1.328,23.9787,0.7431,0.0
SVR,S.G.Cachoeira,-0.1825,2.0474,0.9417,56.1033,1.4309,25.1316,0.7976,0.24
Random Forest,S.G.Cachoeira,-0.3003,2.2513,1.0156,58.5295,1.5004,26.7153,0.8602,3.09
XGBoost,S.G.Cachoeira,-0.2662,2.1922,1.0659,58.5407,1.4806,27.9572,0.9027,0.15
