Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Eirunepe,0.0052,1.0183,0.6562,19.303,1.0091,15.8398,0.6401,0.2
Ridge,Eirunepe,0.0041,1.0194,0.706,20.2139,1.0097,16.9075,0.6886,0.0
XGBoost,Eirunepe,-0.4567,1.4911,0.9245,25.3221,1.2211,21.5401,0.9018,0.15
Random Forest,Eirunepe,-0.7054,1.7458,1.1347,29.5861,1.3213,25.1558,1.1068,3.11
