Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Parintins,0.1375,1.0261,0.7105,18.21,1.013,15.5107,0.7642,0.2
Ridge,Parintins,0.1242,1.042,0.7635,18.7397,1.0208,16.5611,0.8211,0.0
Random Forest,Parintins,-0.1254,1.3389,1.0137,23.9733,1.1571,21.4382,1.0902,3.09
XGBoost,Parintins,-0.2147,1.4451,1.0491,24.62,1.2021,22.2663,1.1283,0.16
