Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Coari,-0.0355,1.1247,0.6979,23.075,1.0605,16.1064,0.6425,0.2
Ridge,Coari,-0.0483,1.1386,0.7245,23.1637,1.0671,16.695,0.667,0.0
XGBoost,Coari,-0.3561,1.473,0.9031,27.2508,1.2137,20.2642,0.8314,0.15
Random Forest,Coari,-0.651,1.7933,1.1099,31.0951,1.3391,24.1893,1.0217,3.14
