Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Manicore,-0.0256,1.0231,0.6976,17.3805,1.0115,15.3612,0.6887,0.21
Ridge,Manicore,-0.0089,1.0064,0.7174,17.7537,1.0032,15.7667,0.7082,0.0
XGBoost,Manicore,-0.1208,1.1181,0.7915,18.6952,1.0574,17.1805,0.7814,0.14
Random Forest,Manicore,-0.3109,1.3077,0.9471,21.5962,1.1435,19.9083,0.9351,3.14
