Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Iaurete,-0.0068,1.3864,0.826,22.3783,1.1775,19.1158,0.6937,0.0
SVR,Iaurete,-0.0784,1.4849,0.8689,23.1553,1.2186,20.1767,0.7297,0.25
XGBoost,Iaurete,-0.029,1.4169,0.8712,22.1778,1.1904,20.1542,0.7316,0.14
Random Forest,Iaurete,-0.1568,1.5928,0.979,25.3215,1.2621,22.4436,0.8221,3.25
