Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Parintins,0.1251,1.0409,0.8099,19.8767,1.0202,17.6334,0.8741,13.59
Random Forest,Parintins,0.1238,1.0425,0.8171,19.5415,1.021,17.7898,0.8819,223.93
XGBoost,Parintins,0.0144,1.1726,0.8796,20.6997,1.0829,19.133,0.9493,42.14
Ridge,Parintins,-0.0134,1.2056,0.9088,21.4018,1.098,19.7497,0.9808,2.84
