Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Random Forest,S.G.Cachoeira,-0.0668,1.847,0.9851,54.7459,1.359,26.367,0.8339,244.4
XGBoost,S.G.Cachoeira,-0.1778,2.0392,1.0081,56.6349,1.428,26.8872,0.8533,43.64
Ridge,S.G.Cachoeira,-0.0942,1.8945,1.0639,54.8171,1.3764,28.3251,0.9005,2.84
SVR,S.G.Cachoeira,-0.2745,2.2066,1.1162,60.7113,1.4855,29.1186,0.9448,14.13
