Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Random Forest,Codajas,-0.0089,1.5383,0.9158,38.2258,1.2403,23.834,0.8591,145.89
XGBoost,Codajas,-0.0165,1.55,0.9221,38.2417,1.245,24.0251,0.8649,48.42
SVR,Codajas,-0.1066,1.6873,0.969,40.0955,1.299,24.9782,0.9089,11.81
Ridge,Codajas,-0.0766,1.6416,1.0465,39.6041,1.2813,26.9598,0.9817,2.85
