Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Benjamin Constant,0.040900000000000006,1.17564,0.85258,23.79984,1.08282,19.52876,0.80756,2.9379999999999997
Random Forest,Benjamin Constant,0.06686,1.14616,0.8578800000000001,23.03828,1.06858,19.67586,0.8126,57.36
Ridge,Benjamin Constant,0.064,1.1499,0.86112,23.0458,1.07028,19.74774,0.81562,0.178
XGBoost,Benjamin Constant,0.020640000000000002,1.1956200000000001,0.87436,23.11348,1.09176,20.08054,0.82772,25.665999999999997
