Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Barcelos,0.0664,0.9228,0.6877,16.6591,0.9606,15.2023,0.7033,13.35
Random Forest,Barcelos,0.0151,0.9735,0.7377,17.2078,0.9867,16.2152,0.7544,222.3
XGBoost,Barcelos,-0.0962,1.0835,0.7583,17.3113,1.0409,16.7268,0.7754,45.24
Ridge,Barcelos,-0.0338,1.0218,0.7678,18.0079,1.0108,16.879,0.7852,2.88
