Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Random Forest,Tefe,0.05766,1.18688,0.86026,23.86394,1.08634,19.4922,0.80274,56.20399999999999
Ridge,Tefe,0.02436,1.2308400000000002,0.86596,24.30266,1.105,19.56578,0.8080400000000001,0.172
SVR,Tefe,-0.04032,1.3125399999999998,0.8671200000000001,25.28406,1.1409,19.515819999999998,0.80902,2.376
XGBoost,Tefe,-0.019220000000000004,1.2783000000000002,0.8933399999999999,24.47652,1.1275600000000001,20.21162,0.8331799999999999,25.586000000000002
