Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Manicore,-0.0005,0.998,0.7075,17.6386,0.999,15.5813,0.6999,12.91
Random Forest,Manicore,-0.0397,1.0372,0.7836,18.5339,1.0184,17.1922,0.7752,152.91
XGBoost,Manicore,-0.0766,1.074,0.808,18.3793,1.0363,17.7246,0.7993,38.74
Ridge,Manicore,-0.1166,1.1138,0.8247,19.3431,1.0554,18.0841,0.8159,2.88
