Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Labrea,-0.0314,0.9362,0.7506,20.9356,0.9676,17.324,0.7621,11.79
XGBoost,Labrea,-0.0661,0.9677,0.7675,21.302,0.9837,17.7131,0.7792,38.73
Random Forest,Labrea,-0.0188,0.9248,0.7809,21.0734,0.9616,17.999,0.7928,150.6
Ridge,Labrea,-0.1701,1.0621,0.8659,22.6761,1.0306,19.9363,0.8791,2.85
