Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Eirunepe,-0.0534,1.0783,0.7208,20.8767,1.0384,17.1903,0.7026,11.96
Random Forest,Eirunepe,-0.0205,1.0446,0.7952,21.727,1.0221,18.926,0.7752,153.34
XGBoost,Eirunepe,-0.0496,1.0744,0.8138,21.6688,1.0366,19.3706,0.7933,39.46
Ridge,Eirunepe,-0.0646,1.0897,0.8323,22.7235,1.0439,19.7723,0.8113,2.81
