Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Tefe,-0.0397,1.1627,0.7608,22.5378,1.0783,17.5954,0.6846,13.36
Random Forest,Tefe,-0.0145,1.1346,0.8021,22.44,1.0652,18.5353,0.7218,148.05
XGBoost,Tefe,-0.0651,1.1911,0.8552,23.2983,1.0914,19.7205,0.7696,37.93
Ridge,Tefe,-0.0874,1.216,0.868,23.5983,1.1027,19.9847,0.7811,0.54
