Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
SVR,Coari,-0.0392,1.1287,0.7073,23.5428,1.0624,16.3406,0.6505,12.23
Random Forest,Coari,-0.0243,1.1125,0.7479,23.3675,1.0548,17.2403,0.688,155.13
Ridge,Coari,-0.0609,1.1523,0.7692,23.9692,1.0734,17.6587,0.7075,2.85
XGBoost,Coari,-0.1843,1.2863,0.7723,24.4997,1.1342,17.654,0.7104,38.81
